#timestamp x y z q_x q_y q_z q_w
1782559576.901860 -0.030385928169560 -0.007240753909027 0.000384065681604 -0.000401759874390 -0.000075071682969 -0.003238441804891 0.999994672709771
1782559577.001643 -0.018598028448716 0.008487717019368 0.000565209143750 -0.000541888255983 0.000332941030387 -0.003179626579602 0.999994742727283
1782559577.101622 -0.015240128535697 0.006305565632696 0.000739223743730 0.000352044469271 -0.000378680759154 -0.002861053934166 0.999995773509049
1782559577.200843 -0.003035292735649 0.000214230356834 -0.002355663067198 0.000518635804124 -0.000479729271635 -0.003680810482723 0.999992976230793
1782559577.301743 0.006119161374256 0.003517134748923 -0.001528033715245 -0.000447600913248 0.000516781227534 -0.005948057001480 0.999982076443620
1782559577.401668 0.003041670939784 0.000985073029804 -0.001759828980438 -0.000152588301947 -0.000593503688580 -0.003684479973317 0.999993024514426
1782559577.500800 -0.000184003348314 -0.001129653158603 -0.002155992263138 -0.000741947563088 -0.000992625020525 -0.002558856953896 0.999995958222068
1782559577.601722 0.007394908673026 -0.003815527476159 -0.002083623014273 -0.001266264338718 -0.000559576008115 -0.001783658767667 0.999997451002110
1782559577.701703 0.001908077460373 -0.009113780811841 -0.001745421752241 -0.000929620040617 -0.001019925080603 -0.000852818790169 0.999998684128895
1782559577.801775 0.007207609552967 -0.008847468972117 -0.001383481451457 -0.001741465173121 -0.001126818567839 -0.001673178311699 0.999996449020348
1782559577.901874 0.009312069613680 -0.008678875528216 -0.000832775382951 -0.002249492457177 -0.001197996411967 -0.001993904943568 0.999994764451975
1782559578.000862 0.002815319772341 -0.008498001076092 -0.000958819340831 -0.002609704613953 -0.001952122253637 -0.003055660656171 0.999990020749452
1782559578.101845 0.002892153057910 -0.005779201686584 -0.001541635673015 -0.003274326905312 -0.002115626708113 -0.003137771418161 0.999987478570346
1782559578.201619 0.001824942733937 -0.003859867508140 -0.001184651393841 -0.003340586489681 -0.002409485549572 -0.003983448327121 0.999983583365607
1782559578.301624 0.000552916708152 -0.002477863593104 -0.001796373984605 -0.003369273623808 -0.002715292531660 -0.003313907707494 0.999985146488399
1782559578.401397 -0.002486231477024 -0.000865765821704 -0.002122296145668 -0.003095379177015 -0.002919128890674 -0.002472299249095 0.999987892452052
1782559578.501733 -0.006329495917801 -0.002728487235367 -0.001925398840111 -0.003617830639437 -0.002925807811186 -0.002675434149926 0.999985596397382
1782559578.601622 -0.005398824360281 -0.004474390507231 -0.001116284053339 -0.003022319259681 -0.002403174702197 -0.000943080184230 0.999992100437504
1782559578.701781 -0.005582443341364 -0.005306629295148 -0.000955134985650 -0.003570353592716 -0.002673703077117 -0.002815927219728 0.999986087123703
1782559578.801693 -0.008061756006579 -0.003324053389916 -0.001906602146184 -0.003159581823003 -0.002976206968706 -0.001624338982432 0.999989260321157
1782559578.900893 -0.005842837202399 -0.003130151645933 -0.000818743076573 -0.003692331068451 -0.002933843180979 -0.003930933076891 0.999981153332710
1782559579.000734 -0.008627415377102 -0.003008748285670 -0.000842308597115 -0.003883169353343 -0.003002435079967 -0.002500087250351 0.999984827856456
1782559579.100648 -0.000342893754200 -0.000202335206648 -0.001997930914664 -0.003330264825792 -0.002583286848899 -0.001463476207445 0.999990047051789
1782559579.201639 -0.004380359157053 0.002284384717905 -0.002421914750503 -0.003461067952819 -0.002930391493754 -0.002580125570737 0.999986388290542
1782559579.300749 -0.006681338204309 0.003341207801512 -0.002229913534817 -0.003333849887588 -0.003218250141608 -0.000633912271186 0.999989063173287
1782559579.400772 0.000392379725323 0.003584024437403 -0.001329717007110 -0.003818352319328 -0.002557972560387 -0.004519508429224 0.999979225286959
1782559579.500832 -0.003031029081033 0.001780304521872 -0.001978479941052 -0.003187997576844 -0.002979104082918 -0.002175823886870 0.999988113629722
1782559579.600759 -0.002350690434360 0.000083695882065 -0.001162059787890 -0.003382245319565 -0.002978402079209 -0.000498259826881 0.999989720584568
1782559579.701665 -0.005092581618326 -0.000836337983931 -0.001848209021419 -0.003598201687658 -0.003337367637812 -0.001694573210930 0.999986521580917
1782559579.800889 -0.009996684866905 -0.001868065635387 -0.003124363459452 -0.003090369385061 -0.002908857151053 -0.003462589333515 0.999984999208613
1782559579.900819 -0.016732388562725 -0.000141090791672 -0.003404861048192 -0.003499932692449 -0.003411634283041 -0.002597096796806 0.999984683038145
1782559580.001650 -0.011648520882038 0.002066844833600 -0.003474421089636 -0.003323515862362 -0.002865558630269 -0.004260211833618 0.999981296530683
1782559580.100846 -0.009557317411552 0.003298584430985 -0.002934504525030 -0.003708112144269 -0.002739531522554 -0.003914122358997 0.999981712091539
1782559580.201694 -0.014605063207511 0.002712592454361 -0.002759640835168 -0.003703366109727 -0.003387037313132 -0.001420075375536 0.999986398129309
1782559580.301599 -0.013876356904912 0.003773604718905 -0.002366593115290 -0.003204014395571 -0.002764576875384 -0.001403524602022 0.999990060713180
1782559580.401599 -0.009389379582616 0.005302084141866 -0.001449661639863 -0.003788582207293 -0.002769364552698 -0.003428172124170 0.999983112307765
